# Complete USDA Foundation Foods Nutrient Analysis
# Generated from scanning the entire dataset
# Total unique nutrients found: 227
# Total foods analyzed: 65

## All Nutrients (sorted by frequency)
Format: Nutrient Name | Frequency | Example Foods
================================================================================

SFA 23:0 | 15 foods | Fish, tuna, light, canned in water, drained solids | Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D | Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)
PUFA 22:3 | 15 foods | Fish, tuna, light, canned in water, drained solids | Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D | Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)
Citric acid | 15 foods | Bananas, overripe, raw | Bananas, ripe and slightly ripe, raw | Apple juice, with added vitamin C, from concentrate, shelf stable
Malic acid | 15 foods | Bananas, overripe, raw | Bananas, ripe and slightly ripe, raw | Apple juice, with added vitamin C, from concentrate, shelf stable
Delta-7-Stigmastenol | 15 foods | Oil, peanut | Oil, sunflower | Oil, safflower
cis-Lutein/Zeaxanthin | 14 foods | Tomatoes, grape, raw | Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D | Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)
PUFA 18:3i | 14 foods | Onion rings, breaded, par fried, frozen, prepared, heated in oven | Cheese, parmesan, grated | Mustard, prepared, yellow
TFA 14:1 t | 14 foods | Fish, tuna, light, canned in water, drained solids | Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D | Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)
TFA 20:1 t | 14 foods | Fish, tuna, light, canned in water, drained solids | Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D | Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)
Cryptoxanthin, alpha | 13 foods | Tomatoes, grape, raw | Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D | Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)
Oxalic acid | 13 foods | Apple juice, with added vitamin C, from concentrate, shelf stable | Orange juice, no pulp, not fortified, from concentrate, refrigerated | Grape juice, purple, with added vitamin C, from concentrate, shelf stable
Quinic acid | 13 foods | Apple juice, with added vitamin C, from concentrate, shelf stable | Orange juice, no pulp, not fortified, from concentrate, refrigerated | Grape juice, purple, with added vitamin C, from concentrate, shelf stable
